"genre","budget"
"Action","24444537"
"Adventure","34872500"
"Animation","30026762"
"Comedy","10324575"
"Crime","12462465"
"Documentary","492816"
"Drama","7267722"
"Family","24067814"
"Fantasy","22668292"
"History","13794530"
"Horror","3719803"
"Music","6929761"
"Mystery","10174374"
"Romance","9947827"
"Science Fiction","21009501"
"Thriller","11547608"
"War","14511891"
"Western","10128275"
