"genre","films_count"
"Drama","181"
"Comedy","89"
"Music","73"
"Romance","69"
"Action","60"
"Animation","57"
"Family","41"
"Fantasy","39"
"TV Movie","37"
"Adventure","34"
"Crime","28"
"Thriller","25"
"Science Fiction","24"
"History","17"
"Horror","12"
"Mystery","11"
"War","5"
