"name","total"
"Renny Harlin","8"
"Clint Eastwood","8"
"Walter Hill","7"
"Barry Levinson","6"
"Martin Scorsese","5"
"Robert Rodriguez","5"
"Paolo Sorrentino","5"
"Peter Hyams","5"
"Steven Soderbergh","5"
"Woody Allen","5"
