"combination","total"
"Music, War, Western","2"
"Mystery, Action","80"
"Mystery, Adventure","54"
"Mystery, Animation","26"
"Mystery, Comedy","430"
"Mystery, Crime","554"
"Mystery, Documentary","35"
"Mystery, Drama","1261"
"Mystery, Family","29"
"Mystery, Fantasy","89"
"Mystery, History","13"
"Mystery, Horror","944"
"Mystery, Music","22"
"Mystery, Romance, Science Fiction","10"
"Mystery, Romance, Thriller","79"
"Mystery, Romance, TV Movie","5"
"Mystery, Romance, War","1"
"Mystery, Romance, Western","4"
"Mystery, Science Fiction, Thriller","93"
"Mystery, Science Fiction, TV Movie","6"
"Mystery, Thriller, TV Movie","165"
"Mystery, Thriller, War","5"
"Mystery, Thriller, Western","4"
"Mystery, TV Movie, Western","1"
"Romance, Action","333"
"Romance, Adventure","136"
"Romance, Animation","38"
"Romance, Comedy","7573"
"Romance, Crime","109"
"Romance, Documentary","32"
"Romance, Drama","13377"
"Romance, Family","112"
"Romance, Fantasy","173"
"Romance, History","52"
"Romance, Horror","142"
"Romance, Music","398"
"Romance, Mystery","88"
"Romance, Science Fiction, Thriller","11"
"Romance, Science Fiction, TV Movie","5"
"Romance, Science Fiction, War","1"
"Romance, Thriller, TV Movie","14"
"Romance, TV Movie, Western","3"
"Romance, War, Western","2"
"Science Fiction, Action","670"
"Science Fiction, Adventure","157"
"Science Fiction, Animation","195"
"Science Fiction, Comedy","891"
"Science Fiction, Crime","25"
"Science Fiction, Documentary","75"
"Science Fiction, Drama","1016"
"Science Fiction, Family","55"
"Science Fiction, Fantasy","140"
"Science Fiction, History","6"
"Science Fiction, Horror","1076"
"Science Fiction, Music","49"
"Science Fiction, Mystery","102"
"Science Fiction, Romance","97"
"Science Fiction, Thriller, TV Movie","36"
"Science Fiction, Thriller, Western","1"
"Thriller, Action","1725"
"Thriller, Adventure","73"
"Thriller, Animation","6"
"Thriller, Comedy","641"
"Thriller, Crime","1628"
"Thriller, Documentary","9"
"Thriller, Drama","4827"
"Thriller, Family","16"
"Thriller, Fantasy","99"
"Thriller, History","23"
"Thriller, Horror","4034"
"Thriller, Music","23"
"Thriller, Mystery","975"
"Thriller, Romance","264"
"Thriller, Science Fiction","440"
"Thriller, TV Movie, War","1"
"Thriller, TV Movie, Western","2"
"TV Movie, Action","72"
"TV Movie, Adventure","76"
"TV Movie, Animation","44"
"TV Movie, Comedy","1569"
"TV Movie, Crime","300"
"TV Movie, Documentary","999"
"TV Movie, Drama","5158"
"TV Movie, Family","191"
"TV Movie, Fantasy","47"
"TV Movie, History","63"
"TV Movie, Horror","297"
"TV Movie, Music","197"
"TV Movie, Mystery","141"
"TV Movie, Romance","557"
"TV Movie, Science Fiction","117"
"TV Movie, Thriller","981"
"War, Action","233"
"War, Adventure","81"
"War, Animation","12"
"War, Comedy","198"
"War, Crime","9"
"War, Documentary","167"
"War, Drama","2652"
"War, Family","8"
"War, History","160"
"War, Horror","16"
"War, Music","8"
"War, Mystery","6"
"War, Romance","39"
"War, Science Fiction","8"
"War, Thriller","46"
"War, TV Movie","29"
"Western, Action","353"
"Western, Adventure","158"
"Western, Animation","7"
"Western, Comedy","446"
"Western, Crime","35"
"Western, Documentary","16"
"Western, Drama","435"
"Western, Family","9"
"Western, Fantasy","9"
"Western, History","20"
"Western, Horror","52"
"Western, Music","62"
"Western, Mystery","22"
"Western, Romance","116"
"Western, Science Fiction","12"
"Western, Thriller","31"
"Western, TV Movie","110"
"Western, War","20"
