"combination","total"
"Adventure, Documentary, Thriller","4"
"Adventure, Documentary, TV Movie","8"
"Adventure, Documentary, War","1"
"Adventure, Documentary, Western","1"
"Adventure, Drama, Family","242"
"Adventure, Drama, Fantasy","99"
"Adventure, Drama, History","173"
"Adventure, Drama, Horror","24"
"Adventure, Drama, Music","27"
"Adventure, Drama, Mystery","47"
"Adventure, Drama, Romance","271"
"Adventure, Drama, Science Fiction","157"
"Adventure, Drama, Thriller","94"
"Adventure, Drama, TV Movie","69"
"Adventure, Drama, War","96"
"Adventure, Drama, Western","60"
"Adventure, Family, Fantasy","297"
"Adventure, Family, History","6"
"Adventure, Family, Horror","3"
"Adventure, Family, Music","21"
"Adventure, Family, Mystery","35"
"Adventure, Family, Romance","13"
"Adventure, Family, Science Fiction","60"
"Adventure, Family, Thriller","1"
"Adventure, Family, TV Movie","43"
"Adventure, Family, War","8"
"Adventure, Family, Western","17"
"Adventure, Fantasy, History","9"
"Adventure, Fantasy, Horror","49"
"Adventure, Fantasy, Music","16"
"Adventure, Fantasy, Mystery","12"
"Adventure, Fantasy, Romance","28"
"Adventure, Fantasy, Science Fiction","56"
"Adventure, Fantasy, Thriller","10"
"Adventure, Fantasy, TV Movie","12"
"Adventure, Fantasy, War","2"
"Adventure, Fantasy, Western","2"
"Adventure, History, Music","2"
"Adventure, History, Mystery","4"
"Adventure, History, Romance","31"
"Adventure, History, Science Fiction","1"
"Adventure, History, Thriller","4"
"Adventure, History, TV Movie","12"
"Adventure, History, War","28"
"Adventure, History, Western","4"
"Adventure, Horror, Music","1"
"Adventure, Horror, Mystery","13"
"Adventure, Horror, Romance","3"
"Adventure, Horror, Science Fiction","43"
"Adventure, Horror, Thriller","41"
"Adventure, Horror, TV Movie","3"
"Adventure, Horror, Western","1"
"Adventure, Music, Romance","7"
"Adventure, Music, Science Fiction","3"
"Adventure, Music, Thriller","2"
"Adventure, Music, TV Movie","1"
"Adventure, Music, Western","1"
"Adventure, Mystery, Romance","6"
"Adventure, Mystery, Science Fiction","13"
"Adventure, Mystery, Thriller","23"
"Adventure, Mystery, TV Movie","4"
"Adventure, Mystery, Western","1"
"Adventure, Romance, Science Fiction","4"
"Adventure, Romance, Thriller","8"
"Adventure, Romance, TV Movie","6"
"Adventure, Romance, War","7"
"Adventure, Romance, Western","21"
"Adventure, Science Fiction, Thriller","24"
"Adventure, Science Fiction, TV Movie","22"
"Adventure, Science Fiction, War","1"
"Adventure, Science Fiction, Western","1"
"Adventure, Thriller, TV Movie","7"
"Adventure, Thriller, War","4"
"Adventure, Thriller, Western","2"
"Adventure, TV Movie, War","11"
"Adventure, TV Movie, Western","9"
"Adventure, War, Western","4"
"Animation, Action","122"
"Animation, Adventure","149"
"Animation, Comedy, Crime","17"
"Animation, Comedy, Documentary","13"
"Animation, Comedy, Drama","87"
"Animation, Comedy, Family","408"
"Animation, Comedy, Fantasy","82"
"Animation, Comedy, History","4"
"Animation, Comedy, Horror","57"
"Animation, Comedy, Music","50"
"Animation, Comedy, Mystery","15"
"Animation, Comedy, Romance","55"
"Animation, Comedy, Science Fiction","102"
"Animation, Comedy, TV Movie","44"
"Animation, Comedy, War","3"
"Animation, Comedy, Western","13"
"Animation, Crime, Documentary","2"
"Animation, Crime, Drama","9"
"Animation, Crime, Mystery","4"
"Animation, Crime, Science Fiction","5"
"Animation, Crime, Thriller","2"
"Animation, Documentary, Drama","18"
"Animation, Documentary, Family","15"
"Animation, Documentary, Fantasy","1"
"Animation, Documentary, History","32"
"Animation, Documentary, Horror","1"
"Animation, Documentary, Music","15"
"Animation, Documentary, Romance","1"
"Animation, Documentary, Science Fiction","2"
"Animation, Documentary, TV Movie","8"
"Animation, Documentary, War","3"
"Animation, Drama, Family","67"
"Animation, Drama, Fantasy","53"
"Animation, Drama, History","35"
"Animation, Drama, Horror","9"
"Animation, Drama, Music","29"
"Animation, Drama, Mystery","9"
"Animation, Drama, Romance","52"
"Animation, Drama, Science Fiction","41"
"Animation, Drama, Thriller","9"
"Animation, Drama, TV Movie","1"
"Animation, Drama, War","16"
"Animation, Family, Fantasy","237"
"Animation, Family, History","12"
"Animation, Family, Horror","2"
"Animation, Family, Music","54"
"Animation, Family, Mystery","4"
"Animation, Family, Romance","8"
"Animation, Family, Science Fiction","31"
"Animation, Family, TV Movie","91"
"Animation, Family, War","1"
"Animation, Family, Western","1"
"Animation, Fantasy, History","4"
"Animation, Fantasy, Horror","34"
"Animation, Fantasy, Music","13"
"Animation, Fantasy, Mystery","13"
"Animation, Fantasy, Romance","28"
"Animation, Fantasy, Science Fiction","32"
"Animation, Fantasy, Thriller","5"
"Animation, Fantasy, TV Movie","6"
"Animation, Fantasy, War","1"
"Animation, Fantasy, Western","2"
"Animation, History, Music","2"
"Animation, History, TV Movie","2"
"Animation, History, War","9"
"Animation, Horror, Music","2"
"Animation, Horror, Mystery","7"
"Animation, Horror, Romance","2"
"Animation, Horror, Science Fiction","14"
"Animation, Horror, Thriller","5"
"Animation, Horror, TV Movie","6"
"Animation, Horror, Western","2"
"Animation, Music, Romance","4"
"Animation, Music, Science Fiction","8"
"Animation, Music, TV Movie","4"
"Animation, Mystery, Science Fiction","5"
"Animation, Mystery, Thriller","1"
"Animation, Mystery, TV Movie","5"
"Animation, Romance, Science Fiction","9"
"Animation, Romance, TV Movie","5"
"Animation, Science Fiction, Thriller","7"
"Animation, Science Fiction, TV Movie","6"
"Animation, Science Fiction, War","7"
"Animation, Science Fiction, Western","1"
"Animation, Thriller, TV Movie","1"
"Animation, TV Movie, Western","1"
"Comedy, Action","2077"
"Comedy, Adventure","794"
"Comedy, Animation","783"
"Comedy, Crime, Documentary","16"
"Comedy, Crime, Drama","663"
"Comedy, Crime, Family","61"
"Comedy, Crime, Fantasy","18"
"Comedy, Crime, History","2"
"Comedy, Crime, Horror","55"
"Comedy, Crime, Music","48"
"Comedy, Crime, Mystery","207"
"Comedy, Crime, Romance","165"
"Comedy, Crime, Science Fiction","14"
"Comedy, Crime, Thriller","243"
"Comedy, Crime, TV Movie","96"
"Comedy, Crime, War","2"
"Comedy, Crime, Western","5"
"Comedy, Documentary, Drama","141"
"Comedy, Documentary, Family","27"
"Comedy, Documentary, Fantasy","11"
"Comedy, Documentary, History","21"
"Comedy, Documentary, Horror","26"
"Comedy, Documentary, Music","94"
"Comedy, Documentary, Mystery","6"
"Comedy, Documentary, Romance","20"
"Comedy, Documentary, Science Fiction","17"
"Comedy, Documentary, Thriller","6"
"Comedy, Documentary, TV Movie","102"
"Comedy, Documentary, War","1"
"Comedy, Documentary, Western","6"
"Comedy, Drama, Family","886"
"Comedy, Drama, Fantasy","414"
"Comedy, Drama, History","165"
"Comedy, Drama, Horror","224"
"Comedy, Drama, Music","642"
"Comedy, Drama, Mystery","188"
"Comedy, Drama, Romance","4426"
"Comedy, Drama, Science Fiction","186"
"Comedy, Drama, Thriller","345"
"Comedy, Drama, TV Movie","647"
"Comedy, Drama, War","103"
"Comedy, Drama, Western","49"
"Comedy, Family, Fantasy","307"
"Comedy, Family, History","5"
"Comedy, Family, Horror","23"
"Comedy, Family, Music","161"
"Comedy, Family, Mystery","12"
"Comedy, Family, Romance","234"
"Comedy, Family, Science Fiction","72"
"Comedy, Family, Thriller","6"
"Comedy, Family, TV Movie","249"
"Comedy, Family, War","2"
"Comedy, Family, Western","8"
"Comedy, Fantasy, History","12"
"Comedy, Fantasy, Horror","249"
"Comedy, Fantasy, Music","64"
"Comedy, Fantasy, Mystery","20"
"Comedy, Fantasy, Romance","230"
"Comedy, Fantasy, Science Fiction","89"
"Comedy, Fantasy, Thriller","19"
"Comedy, Fantasy, TV Movie","62"
"Comedy, Fantasy, War","1"
"Comedy, Fantasy, Western","2"
"Comedy, History, Horror","5"
"Comedy, History, Music","19"
"Comedy, History, Mystery","1"
"Comedy, History, Romance","28"
"Comedy, History, Science Fiction","1"
"Comedy, History, Thriller","1"
"Comedy, History, TV Movie","5"
"Comedy, History, War","19"
"Comedy, Horror, Music","93"
"Comedy, Horror, Mystery","155"
"Comedy, Horror, Romance","110"
"Comedy, Horror, Science Fiction","303"
"Comedy, Horror, Thriller","353"
"Comedy, Horror, TV Movie","43"
"Comedy, Horror, War","6"
"Comedy, Horror, Western","4"
"Comedy, Music, Mystery","12"
"Comedy, Music, Romance","794"
"Comedy, Music, Science Fiction","30"
"Comedy, Music, Thriller","10"
"Comedy, Music, TV Movie","132"
"Comedy, Music, War","17"
"Comedy, Music, Western","38"
"Comedy, Mystery, Romance","55"
"Comedy, Mystery, Science Fiction","25"
"Comedy, Mystery, Thriller","111"
"Comedy, Mystery, TV Movie","20"
"Comedy, Mystery, War","1"
"Comedy, Mystery, Western","1"
